"Country","Year","Number of cases of ‘current’ injecting drug use (in the past 30 days) identified","Percentage of cases of ‘current’ injecting drug use (in the past 30 days) identified","Reference group"
"Albania"," NA","No national data","No national data","Not applicable"
"Armenia"," NA","No national data","No national data","Not applicable"
"Azerbaijan"," NA","No national data","No national data","Not applicable"
"Belgium"," NA","No national data","No national data","Not applicable"
"Bosnia and Herzegovina"," NA","No national data","No national data","Not applicable"
"Bulgaria"," NA","No national data","No national data","Not applicable"
"Croatia"," NA","No national data","No national data","Not applicable"
"Cyprus"," Missing","Missing","Missing","Missing"
"Czechia"," Missing","Missing","Missing","Missing"
"Denmark"," NA","No national data","No national data","Not applicable"
"Estonia"," NA","No national data","No national data","Not applicable"
"Finland"," NA","No national data","No national data","Not applicable"
"France"," NA","No national data","No national data","Not applicable"
"Georgia"," NA","No national data","No national data","Not applicable"
"Germany"," NA","No national data","No national data","Not applicable"
"Iceland"," NA","No national data","No national data","Not applicable"
"Ireland"," NA","No national data","No national data","Not applicable"
"Italy"," 2014","13465","25.81","All prisoners (including those in remand prison/jail)"
"Latvia"," NA","No national data","No national data","Not applicable"
"Lithuania"," NA","No national data","No national data","Not applicable"
"Malta"," NA","No national data","No national data","Not applicable"
"Monaco"," 2016","2","7","All prisoners (including those in remand prison/jail)"
"Montenegro"," NA","No national data","No national data","Not applicable"
"Netherlands"," NA","No national data","No national data","Not applicable"
"Norway"," NA","No national data","No national data","Not applicable"
"Poland"," NA","No national data","No national data","Not applicable"
"Portugal"," NA","No national data","No national data","Not applicable"
"Republic of Moldova"," NA","No national data","No national data","Not applicable"
"Romania"," NA","No national data","No national data","Not applicable"
"Russian Federation"," NA","No national data","No national data","Not applicable"
"Serbia"," NA","No national data","No national data","Not applicable"
"Slovakia"," 2015","408","4.5","All prisoners (including those in remand prison/jail)"
"Slovenia"," NA","No national data","No national data","Not applicable"
"Spain"," 2015","3251","5","All prisoners (including those in remand prison/jail)"
"Sweden"," NA","No national data","No national data","Not applicable"
"Switzerland"," NA","No national data","No national data","Not applicable"
"Tajikistan"," NA","No national data","No national data","Not applicable"
"Ukraine"," NA","No national data","No national data","Not applicable"
"United Kingdom of Great Britain and Northern Ireland"," 2016","7163","18","Another population"
