"Country","Year","Number of cases of overweight (BMI&gt;25)","Percentage of cases of overweight (BMI&gt;25)","Reference group"
"Albania"," NA","No national data","No national data","Not applicable"
"Armenia"," NA","No national data","No national data","Not applicable"
"Azerbaijan"," NA","No national data","No national data","Not applicable"
"Belgium"," NA","No national data","No national data","Not applicable"
"Bosnia and Herzegovina"," NA","No national data","No national data","Not applicable"
"Bulgaria"," NA","No national data","No national data","Not applicable"
"Croatia"," NA","No national data","No national data","Not applicable"
"Cyprus"," NA","No national data","No national data","Not applicable"
"Czechia"," NA","No national data","No national data","Not applicable"
"Denmark"," Missing","No national data","1.5","Missing"
"Estonia"," NA","No national data","No national data","Not applicable"
"Finland"," NA","No national data","No national data","Not applicable"
"France"," NA","No national data","No national data","Not applicable"
"Georgia"," NA","No national data","No national data","Not applicable"
"Germany"," NA","No national data","No national data","Not applicable"
"Iceland"," NA","No national data","No national data","Not applicable"
"Ireland"," NA","No national data","No national data","Not applicable"
"Italy"," NA","No national data","No national data","Not applicable"
"Latvia"," NA","No national data","No national data","Not applicable"
"Lithuania"," NA","No national data","No national data","Not applicable"
"Malta"," NA","No national data","No national data","Not applicable"
"Monaco"," NA","No national data","No national data","Not applicable"
"Montenegro"," 2016","50","3.7","No national data"
"Netherlands"," NA","No national data","No national data","Not applicable"
"Norway"," NA","No national data","No national data","Not applicable"
"Poland"," NA","No national data","No national data","Not applicable"
"Portugal"," NA","No national data","No national data","Not applicable"
"Republic of Moldova"," NA","No national data","No national data","Not applicable"
"Romania"," NA","No national data","No national data","Not applicable"
"Russian Federation"," 2016","326",".05","All prisoners (including those in remand prison/jail)"
"Serbia"," NA","No national data","No national data","Not applicable"
"Slovakia"," NA","No national data","No national data","Not applicable"
"Slovenia"," NA","No national data","No national data","Not applicable"
"Spain"," NA","No national data","No national data","Not applicable"
"Sweden"," NA","No national data","No national data","Not applicable"
"Switzerland"," NA","No national data","No national data","Not applicable"
"Tajikistan"," NA","No national data","No national data","Not applicable"
"Ukraine"," NA","No national data","No national data","Not applicable"
"United Kingdom of Great Britain and Northern Ireland"," NA","No national data","No national data","Not applicable"
