Country,Year,Number of prison staff,Number of health care staff,Number of physicians,Number of psychiatrists,Number of psychologists,Number of dentists
Albania, 2016,4160,259,44,4,10,19
Armenia, NA,No national data,No national data,No national data,No national data,No national data,No national data
Azerbaijan, NA,No national data,,,,No national data,
Azerbaijan, 2016,,297,176,28,,20
Belgium, 2017,9843,500,207,40,19,31
Bosnia and Herzegovina, 2016,946,40,8,2,5,1
Bulgaria, Missing,,,,,,Missing
Bulgaria, 2016,,90,27,2,28,
Bulgaria, 2015,3958,,,,,
Croatia, 2016,,,22,10,32,3
Croatia, 2015,2639,126,,,,
Cyprus, Missing,Missing,Missing,Missing,,,Missing
Cyprus, 2015,,,,,3,
Cyprus, 2014,,,,2,,
Czechia, NA,,,,,No national data,
Czechia, 2016,,,44,8.6,,21
Czechia, 2015,10908,527.9,,,,
Denmark, NA,No national data,No national data,No national data,,No national data,No national data
Denmark, 2017,,,,7,,
Estonia, 2016,1500.6,99.25,14.3,3.55,21.75,2.1
Finland, 2016,1983,183,20,8,3,5
France, 2015,,3305,225,228,313,92
Georgia, 2016,2066,493,186,7,31,5
Germany, NA,No national data,No national data,No national data,No national data,No national data,No national data
Iceland, 2016,125,,1,0,2,0
Ireland, 2016,3364.78,153,11.6,5,19,2.8
Italy, 2016,44500,,,,,
Italy, 2008,,3162,1626,80,61,
Latvia, 2015,2812,73,10,3,32,0
Lithuania, 2016,2946,243,80,7,43,15
Malta, Missing,Missing,,,,,
Malta, 2017,,37,3,2,1,1
Monaco, Missing,,Missing,,,,
Monaco, 2016,6,,4,2,1,1
Montenegro, NA,No national data,,,,,
Montenegro, 2016,,28,7,2,4,1
Netherlands, Missing,Missing,,,,,
Netherlands, NA,,No national data,No national data,,No national data,No national data
Netherlands, 2016,,,,72.5,,
Norway, NA,,,,No national data,No national data,No national data
Norway, 2015,4556,136,14.3,,,
Poland, 2016,29196.13,1722.675,525.285,38.91,616.2,
Portugal, 2015,,,14,10,15,6
Portugal, 2014,6306,120,,,,
Republic of Moldova, Missing,,,,,,Missing
Republic of Moldova, 2016,797,205,74,13,11,
Romania, 2015,12657,722,166,6,132,10
Russian Federation, 2016,28503,20212,7264,832,3156,850
Serbia, NA,,,,No national data,No national data,No national data
Serbia, 2015,,,341,,,
Serbia, 2014,376,278,,,,
Slovakia, 2016,5478,314,52,10,8,11
Slovenia, NA,,No national data,,,,
Slovenia, 2017,861,,11,15,7,10
Spain, 2015,23670,1200,600,30,300,60
Sweden, 2016,11000,220,15,6,50,0
Switzerland, NA,,,No national data,No national data,No national data,No national data
Switzerland, 2016,4169,616,,,,
Tajikistan, NA,No national data,No national data,No national data,No national data,No national data,No national data
Ukraine, NA,No national data,,,,,
Ukraine, 2016,,2271,990,77,188,95
United Kingdom of Great Britain and Northern Ireland, NA,No national data,No national data,No national data,No national data,No national data,
United Kingdom of Great Britain and Northern Ireland, 2017,,,,,,183
